autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Peter Truschner,"Österreich, Deutschland",Berlin,RTL-Reptil,Stefan Gmünder,05072015,03081967,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709073/"
FALKNER,Österreich,Wien,Krieger sein Bruder sein – Manifest 47,Klaus Kastberger,05072015,01071970,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2708994/"
Tim Krohn,"Schweiz, Deutschland",Val Müstair,Zum Paradies,Juri Steiner,05072015,09021965,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709017/"
Monique Schwitter,"Schweiz, Deutschland",Hamburg,Esche,Hildegard E. Keller,05072015,02031972,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709277/"
Ronja von Rönne,Deutschland,Berlin,Welt am Sonntag,Hubert Winkels,05072015,16011992,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709072/"
Jürg Halter,Schweiz,Bern,Erwachen im 21. Jahrhundert,Juri Steiner,05072015,23061980,m,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2709014/"
Anna Baar,Österreich,Klagenfurt,Die Farbe des Granatapfels,Stefan Gmünder,05072015,01071973,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2708993/"
Teresa Präauer,Österreich,Wien,"Oh, Schimmi",Hubert Winkels,05072015,28021979,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2709019/"
Dana Grigorcea,"Schweiz, Rumänien",Zürich,Das primäre Gefühl der Schuldlosigkeit,Hildegard E. Keller,05072015,11111979,w,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2709008/"
Roman Marchel,Österreich,südliches Waldviertel,Die fröhlichen Pferde von Chauvet,Arno Dusini,06072014,01071974,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4644/index.html"
Kerstin Preiwuß,Deutschland,Leipzig,unbetitelter Text,Meike Feßmann,06072014,01071980,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4635/index.html"
Tobias Sommer,Deutschland,Bad Segeberg,Steuerstrafakte,Juri Steiner,06072014,01071978,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4629/index.html"
Gertraud Klemm,Österreich,Pfaffstätten,Ujjayi (Romanauszug),Hubert Winkels,06072014,06071971,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4648/index.html"
Olga Flor,Österreich,Graz,Unter Platanen,Daniela Strigl,06072014,25011968,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4661/index.html"
Anne-Kathrin Heier,Deutschland,Berlin,Ichthys,Burkhard Spinnen,06072014,01071977,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4651/index.html"
Birgit Pölzl,Österreich,Graz,Maia,Arno Dusini,06072014,01071959,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4638/index.html"
Senthuran Varatharajah,Deutschland,Berlin,Vor der Zunahme der Zeichen (Romanauszug),Meike Feßmann,06072014,01071984,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4626/index.html"
