autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Martin Ahrends,Deutschland,Hollenstedt,titel,None,27061992,20031951,m,vorgetragen_am,False,True,webseite
Friedrich Ani,Deutschland,München,titel,None,27061992,07011959,m,vorgetragen_am,False,True,webseite
Nobert Bleisch,Deutschland,Schwerin,titel,None,27061992,geburtsjahr,m,vorgetragen_am,False,False,webseite
Bianca Döring,Deutschland,Stuttgart,titel,None,27061992,01071957,w,vorgetragen_am,False,True,webseite
Manfred Flügge,Deutschland,Berlin,titel,None,27061992,03031946,m,vorgetragen_am,False,True,webseite
Lioba Happel,Deutschland,Berlin,titel,None,27061992,07021957,w,vorgetragen_am,False,True,webseite
Christa Hein,Deutschland,"Frankfurt/Main",titel,None,27061992,25081955,w,vorgetragen_am,False,True,webseite
Wolfgang Herrmann,Österreich,"Paris, Berlin, ..",titel,None,27061992,27091961,m,vorgetragen_am,False,True,webseite
Ulrich Holbein,Deutschland,Allmuthshausen,"Universum schlaflos",None,27061992,24011953,m,vorgetragen_am,True,True,webseite
Alois Hotschnig,Österreich,Innsbruck,"Rettung",None,27061992,03101959,m,vorgetragen_am,True,True,webseite
Christoph Janacs,Österreich,Niederalm,titel,None,27061992,04101955,m,vorgetragen_am,False,True,webseite
Jan Koneffke,Deutschland,Berlin,titel,None,27061992,19111960,m,vorgetragen_am,False,True,webseite
Fritz Krenn,Österreich,Graz,"Das Holz",None,27061992,28011958,m,vorgetragen_am,True,True,webseite
Roger Lille,Schweiz,Aarau,titel,None,27061992,17081956,m,vorgetragen_am,False,True,webseite
Manfred Maurer,Österreich,Wien,titel,None,27061992,08111958,m,vorgetragen_am,False,True,webseite
Andreas Neumeister,Deutschland,München,titel,None,27061992,16091959,m,vorgetragen_am,False,True,webseite
Ulrich Peltzer,Deutschland,Berlin,"Text ohne Titel",None,27061992,09121956,m,vorgetragen_am,True,True,webseite
Sabine Scholl,Österreich,Wien,titel,None,27061992,28031959,w,vorgetragen_am,False,True,webseite
Burkhard Spinnen,Deutschland,Münster,"Der Pfeiler",None,27061992,28121956,m,vorgetragen_am,True,True,webseite
Ginka Steinwachs,Deutschland,Hamburg,titel,None,27061992,31101942,w,vorgetragen_am,False,True,webseite
Alissa Walser,Deutschland,"Frankfurt/Main","Geschenkt",None,27061992,24011961,w,vorgetragen_am,True,True,webseite
Kurt Aebli,Schweiz,Zürich,titel,None,27061991,20101955,m,vorgetragen_am,False,True,webseite
Gabrielle Alioth,Schweiz,"Basel, Irland",titel,None,27061991,21041955,w,vorgetragen_am,False,True,webseite
Urs Allemann,Schweiz,Riehen,"Babyficker",None,27061991,01041948,m,vorgetragen_am,True,True,webseite
Marcel Beyer,Deutschland,Köln,"Flughunde",None,27061991,23111965,m,vorgetragen_am,True,True,webseite
Michael Eberth,Deutschland,Oberhofen,titel,None,27061991,02021943,m,vorgetragen_am,False,True,webseite
Hella Eckert,Deutschland,Heidelberg,titel,None,27061991,17011948,w,vorgetragen_am,False,True,webseite
Hubert Konrad Frank,Deutschland,Freiburg,"Café Wintergarten",None,27061991,12091939,m,vorgetragen_am,True,True,webseite
Walter Gnelli,land,Berlin,titel,None,27061991,geburtsjahr,m,vorgetragen_am,False,False,webseite
Durs Grünbein,Deutschland,Berlin,titel,None,27061991,09101962,m,vorgetragen_am,False,True,webseite
Roland Koch,Deutschland,Köln,titel,None,27061991,02111959,m,vorgetragen_am,False,True,webseite
Judith Kuckart,Deutschland,Berlin,titel,None,27061991,17061959,w,vorgetragen_am,False,True,webseite
Sabine Küchler,Deutschland,Lippstadt,titel,None,27061991,15051965,w,vorgetragen_am,False,True,webseite
Ulrike Längle,Österreich,Bregenz,titel,None,27061991,04021953,m,vorgetragen_am,False,True,webseite
Fritz Hendrick Melle,Deutschland,Berlin,titel,None,27061991,07101960,m,vorgetragen_am,False,True,webseite
Francesco Micieli,Schweiz,Zollbrück,titel,None,27061991,21021956,m,vorgetragen_am,False,True,webseite
Wolfgang Mörth,Österreich,Lauterach,titel,None,27061991,29081958,m,vorgetragen_am,False,True,webseite
Emine Sevgi Özdamar,"Deutschland, Türkei",Berlin,"Das Leben ist eine Karawanserei",None,27061991,10081946,w,vorgetragen_am,True,True,webseite
Matthias Politycki,Deutschland,München,titel,None,27061991,20051955,m,vorgetragen_am,False,True,webseite
Theres Roth-Hunkeler,Schweiz,"St. Gallen","Das Muttermal",None,27061991,11101953,w,vorgetragen_am,True,True,webseite
SAID,"Deutschland, Iran",München,titel,None,27061991,27051947,m,vorgetragen_am,False,True,webseite
Ludger Schwarte,Deutschland,Berlin,titel,None,27061991,29121967,m,vorgetragen_am,False,True,webseite
Peter Wawerzinek,Deutschland,Berlin,"Moppel Schappik",None,27061991,28091954,m,vorgetragen_am,True,True,webseite
Pieke Biermann,"Deutschland (BRD)",Berlin,"Das Gesetz des Auges",None,27061990,22031950,w,vorgetragen_am,True,True,webseite
Christoph Buggert,"Deutschland (BRD)",Oberursel,titel,None,27061990,17061937,m,vorgetragen_am,False,True,webseite
Georg Bydlinski,Österreich,Maria Enzersdorf,titel,None,27061990,30051956,m,vorgetragen_am,False,True,webseite
Ludwig Roman Fleischer,Österreich,Wien,"Rakontimer",None,27061990,17091952,m,vorgetragen_am,True,True,webseite
Hubert Konrad Frank,"Deutschland (BRD)",Freiburg,"Baden-Dubel",None,27061990,12091939,m,vorgetragen_am,False,True,webseite
Eleonore Frey,Schweiz,Zürich,titel,None,27061990,18101939,w,vorgetragen_am,False,True,webseite
Ingeborg Harms,"Deutschland (BRD)","Boston (USA)","Auf den breiten Nacken einer Sumpfschildkröte",None,27061990,15091956,w,vorgetragen_am,True,True,webseite
Franz Hodjak,Rumänien,"Cluj-Napoca","Die Jacke",None,27061990,27091944,m,vorgetragen_am,True,True,webseite
Reinhard Jirgl,"Deutschland (DDR)",Berlin,titel,None,27061990,16011953,m,vorgetragen_am,False,True,webseite
Fritz-Jochen Kopka,"Deutschland (DDR)",Berlin,titel,None,27061990,14041944,m,vorgetragen_am,False,True,webseite
Friederike Kretzen,"Deutschland (BRD)",Basel,titel,None,27061990,20071956,w,vorgetragen_am,False,True,webseite
Cornelia Manikowsky,"Deutschland (BRD)",Hamburg,"Eine Frau und ein Junge",None,27061990,03121961,w,vorgetragen_am,True,True,webseite
Erich Möchel,Österreich,Wien,titel,None,27061990,28081957,m,vorgetragen_am,False,True,webseite
Andreas Montag,"Deutschland (DDR)",Halle,titel,None,27061990,04031956,m,vorgetragen_am,False,True,webseite
Christa Moog,"Deutschland (BRD)",Berlin,titel,None,27061990,30011952,w,vorgetragen_am,False,True,webseite
Berndt Rieger,"Deutschland (BRD)","Los Angeles (USA)",titel,None,27061990,09091962,m,vorgetragen_am,False,True,webseite
Susanne Röckel,"Deutschland (BRD)",München,titel,None,27061990,14061953,w,vorgetragen_am,False,True,webseite
Margit Schreiner,Österreich,Salzburg,"Mein erster Neger (Romanauszug)",None,27061990,22121953,w,vorgetragen_am,False,True,webseite
"W. G. Sebald","Deutschland (BRD)","Norwich (Großbritannien)",titel,None,27061990,18051944,m,vorgetragen_am,False,True,webseite
Alain Claude Sulzer,Schweiz,"BRD und Frankreich",titel,None,27061990,17021953,m,vorgetragen_am,False,True,webseite
Stefan Tomas,"Deutschland (BRD)",Bielefeld,titel,None,27061990,12021943,m,vorgetragen_am,False,True,webseite
Birgit Vanderbeke,"Deutschland (BRD)","Frankfurt/Main","Das Muschelessen",None,27061990,08081956,w,vorgetragen_am,True,True,webseite
Martin Ahrends,"Deutschland (BRD)",Hollenstedt,titel,None,27061989,20031951,m,vorgetragen_am,False,True,webseite
Christoph Geiser,Schweiz,Bern,titel,None,27061989,03081949,m,vorgetragen_am,False,True,webseite
Norbert Gstrein,Österreich,Graz,"Dschungel. Ein Prolog",None,27061989,03061961,m,vorgetragen_am,True,True,webseite
Eberhard Häfner,"Deutschland (DDR)",Berlin,"Roter Cox",None,27061989,24101941,m,vorgetragen_am,True,True,webseite
Kerstin Hensel,"Deutschland (DDR)",Berlin,titel,None,27061989,29051961,w,vorgetragen_am,False,True,webseite
Thomas Hettche,"Deutschland (BRD)","Frankfurt/Main","Ludwig muß sterben",None,27061989,30111964,m,vorgetragen_am,True,True,webseite
Wolfgang Hilbig,"Deutschland (BRD)",Nürnberg,"Eine Übertragung",None,27061989,31081941,m,vorgetragen_am,True,True,webseite
Gabi Kachold,"Deutschland (DDR)",Erfurt,titel,None,27061989,geburtsjahr,w,vorgetragen_am,False,False,webseite
Angelika Klüssendorf,"Deutschland (BRD)",Berlin,titel,None,27061989,26101958,w,vorgetragen_am,False,True,webseite
Peter Kurzeck,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061989,10061943,m,vorgetragen_am,False,True,webseite
Franz Meisl,Österreich,Wien,titel,None,27061989,geburtsjahr,m,vorgetragen_am,False,False,webseite
Klaus Merz,Schweiz,Unterkulm,titel,None,27061989,03101945,m,vorgetragen_am,False,True,webseite
Rolf Niederhauser,Schweiz,Basel,titel,None,27061989,25101951,m,vorgetragen_am,False,True,webseite
Sabine Peters,"Deutschland (BRD)",Dollart,"drei fragen",None,27061989,17011961,w,vorgetragen_am,True,True,webseite
Gernot Ragger,Österreich,Wolfsberg,titel,None,27061989,26101959,m,vorgetragen_am,False,True,webseite
Hansjörg Schertenleib,Schweiz,Luzern,titel,None,27061989,04111957,m,vorgetragen_am,False,True,webseite
Bernd Schirmer,"Deutschland (DDR)",Berlin,"Cahlenberg  (Romanauszug)",None,27061989,23021940,m,vorgetragen_am,True,True,webseite
Alois Schöpf,Österreich,Lans,titel,None,27061989,05101950,m,vorgetragen_am,False,True,webseite
Split,"Deutschland (BRD)",Berlin,titel,None,27061989,geburtsjahr,m,vorgetragen_am,False,False,webseite
Bruno Steiger,Schweiz,Zürich,titel,None,27061989,03061946,m,vorgetragen_am,False,True,webseite
Natascha Wodin,"Deutschland (BRD)",Nürnberg,titel,None,27061989,08121945,w,vorgetragen_am,False,True,webseite
Sylvia Brandis,"Deutschland (BRD)",Tielenhemme,"Eine Freundin ganz besonderer Art",None,27061988,01071959,w,vorgetragen_am,True,True,webseite
Rudolf Brun,"Deutschland (BRD)",Schmitten,titel,None,27061988,geburtsjahr,m,vorgetragen_am,False,False,webseite
Wolfgang de Bruyn,"Deutschland (DDR)",Wildau,titel,None,27061988,01071951,m,vorgetragen_am,False,True,webseite
Günter Franzen,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061988,17011947,m,vorgetragen_am,False,True,webseite
Hartmut Geerken,"Deutschland (BRD)",Herrsching,titel,None,27061988,15011939,m,vorgetragen_am,False,True,webseite
Bernhard Gierds,"Deutschland (BRD)",Hamburg,"Die Flucht der Kanarienvögel",None,27061988,geburtsjahr,m,vorgetragen_am,True,False,webseite
Anselm Glück,Österreich,Wien,"geschichte",None,27061988,28011950,m,vorgetragen_am,True,True,webseite
Peter Haffner,Schweiz,Zürich,titel,None,27061988,29011953,m,vorgetragen_am,False,True,webseite
Alios Haider,Österreich,Schallaburg,titel,None,27061988,geburtsjahr,m,vorgetragen_am,False,False,webseite
Christoph Keller,Schweiz,"St. Gallen",titel,None,27061988,22121963,m,vorgetragen_am,False,True,webseite
Walter Klier,Österreich,Innsbruck,titel,None,27061988,05071955,m,vorgetragen_am,False,True,webseite
Angela Krauß,"Deutschland (DDR)",Leipzig,"Der Dienst",None,27061988,02051950,w,vorgetragen_am,True,True,webseite
Jochen Langer,"Deutschland (BRD)",Köln,titel,None,27061988,14111953,m,vorgetragen_am,False,True,webseite
Klaus Modick,"Deutschland (BRD)",Wiefelstede,titel,None,27061988,03051951,m,vorgetragen_am,False,True,webseite
Andreas Neumeister,"Deutschland (BRD)",München,titel,None,27061988,16091959,m,vorgetragen_am,False,True,webseite
Jost Nickel,"Deutschland (BRD)",Hamburg,titel,None,27061988,11031958,m,vorgetragen_am,False,True,webseite
Angela Praesent,"Deutschland (BRD)",Hamburg,titel,None,27061988,29031945,w,vorgetragen_am,False,True,webseite
Elisabeth Reichart,Österreich,Wien,titel,None,27061988,19111953,w,vorgetragen_am,False,True,webseite
Flavio Steimann,Schweiz,Willisau,titel,None,27061988,13121945,m,vorgetragen_am,False,True,webseite
Brigitte Struzyk,"Deutschland (DDR)",Berlin,titel,None,27061988,02041946,w,vorgetragen_am,False,True,webseite
Hans-Eckardt Wenzel,"Deutschland (DDR)",Berlin,titel,None,27061988,31071955,m,vorgetragen_am,False,True,webseite
Michael Wildenhain,"Deutschland (BRD)",Berlin,"Enger Ort",None,27061988,20091958,m,vorgetragen_am,True,True,webseite
Ursula Adam-Kabas,Österreich,Salzburg,titel,None,27061987,27061950,w,vorgetragen_am,False,True,webseite
Urs Allemann,Schweiz,Riehen,titel,None,27061987,01041948,m,vorgetragen_am,False,True,webseite
Claudia Erdheim,Österreich,Kiel,titel,None,27061987,06101945,w,vorgetragen_am,False,True,webseite
Werner Fritsch,"Deutschland (BRD)",München,"Cherubim II: Wenzel Heindl, Das Wernerl",None,27061987,04051960,m,vorgetragen_am,True,True,webseite
Claudia Guderian,"Deutschland (BRD)",Gießen,titel,None,27061987,04031952,w,vorgetragen_am,False,True,webseite
Friedrich Hahn,Österreich,Wien,titel,None,27061987,03051952,m,vorgetragen_am,False,True,webseite
Jutta Heinrich,"Deutschland (BRD)",Hamburg,titel,None,27061987,04041940,w,vorgetragen_am,False,True,webseite
Paulus Hochgatterer,Österreich,Wien,titel,None,27061987,16071961,m,vorgetragen_am,False,True,webseite
Barbara Honigmann,"Deutschland (DDR)","Strasbourg (Frankreich)",titel,None,27061987,12021949,w,vorgetragen_am,False,True,webseite
Anna Langhoff,"Deutschland (BRD)",Berlin,"'Das Notschlachtmesser in meiner Brust', 'Tausend Meter Herzsprung', 'Nordsees Odysseus' und 'Die Notwendigkeit'",None,27061987,30051965,w,vorgetragen_am,True,True,webseite
Irina Liebmann,"Deutschland (DDR)",Berlin,"Hast du die Nacht genutzt?",None,27061987,23071943,w,vorgetragen_am,True,True,webseite
Manfred Maurer,Österreich,Wien,titel,None,27061987,08111958,m,vorgetragen_am,False,True,webseite
Linde Rotta,"Deutschland (BRD)",Lünen,titel,None,27061987,02071937,w,vorgetragen_am,False,True,webseite
Uwe Saeger,"Deutschland (DDR)",Bellin,"Ohne Behinderung, ohne falsche Bewegung",None,27061987,03011948,m,vorgetragen_am,True,True,webseite
Maria Seidemann,"Deutschland (DDR)",Potsdam,titel,None,27061987,16101944,w,vorgetragen_am,False,True,webseite
Manfred Seiler,"Deutschland (BRD)",Bachern,titel,None,27061987,01071952,m,vorgetragen_am,False,True,webseite
Erich Wolfgang Skwara,Österreich,"San Diego, Salzburg",titel,None,27061987,04111948,m,vorgetragen_am,False,True,webseite
Martin Stephan,"Deutschland (DDR)",Berlin,titel,None,27061987,10081945,m,vorgetragen_am,False,True,webseite
Joseph von Westphalen,"Deutschland (BRD)",München,titel,None,27061987,26061945,m,vorgetragen_am,False,True,webseite
Thorsten Becker,"Deutschland (BRD)",Berlin,titel,None,27061986,04091958,m,vorgetragen_am,False,True,webseite
Jochen Beyse,"Deutschland (BRD)",Hamburg,"Das Affenhaus",None,27061986,15101949,m,vorgetragen_am,True,True,webseite
Christiane Binder-Gasper,"Deutschland (BRD)",Berlin,titel,None,27061986,12041935,w,vorgetragen_am,False,True,webseite
Daniela Castner,"Deutschland (BRD)","Wedel bei Hamburg",titel,None,27061986,16051948,w,vorgetragen_am,False,True,webseite
Gerhard Falkner,"Deutschland (BRD)","München, Nürnberg",titel,None,27061986,15031951,m,vorgetragen_am,False,True,webseite
Zsuzsanna Gahse,"Deutschland (BRD)",Stuttgart,"Sieben Personen",None,27061986,27061946,w,vorgetragen_am,True,True,webseite
Armin Gatterer,Italien,Bozen,titel,None,27061986,09051959,m,vorgetragen_am,False,True,webseite
Evelyn Grill,Österreich,Linz,titel,None,27061986,15011942,w,vorgetragen_am,False,True,webseite
Daniel Grolle,"Deutschland (BRD)",Hamburg,"'Sieger' und 'Da ist was da unten'",None,27061986,15011963,m,vorgetragen_am,True,True,webseite
Lukas Hammerstein,"Deutschland (BRD)",München,titel,None,27061986,04051958,m,vorgetragen_am,False,True,webseite
Wolfgang Hermann,Österreich,Wien,titel,None,27061986,27091961,m,vorgetragen_am,False,True,webseite
Bettina Klix,"Deutschland (BRD)",Berlin,titel,None,27061986,27031961,w,vorgetragen_am,False,True,webseite
Friedrich Wilhelm Korff,"Deutschland (BRD)",Wennigsen,titel,None,27061986,29121939,m,vorgetragen_am,False,True,webseite
Friederike Kretzen,"Deutschland (BRD)",Basel,titel,None,27061986,20071956,w,vorgetragen_am,False,True,webseite
Katja Lange-Müller,"Deutschland (DDR)",Berlin,"Kaspar Mauser - Die Feigheit vorm Freund",None,27061986,13021951,w,vorgetragen_am,True,True,webseite
Henrike Leonhardt,"Deutschland (BRD)",München,titel,None,27061986,07121943,w,vorgetragen_am,False,True,webseite
Jost Nickel,"Deutschland (BRD)",Hamburg,titel,None,27061986,11031958,m,vorgetragen_am,False,True,webseite
Anita Pichler,Italien,Venedig,titel,None,27061986,28011948,w,vorgetragen_am,False,True,webseite
Arnulf Ploder,Österreich,Klagenfurt,"Erdschwere",None,27061986,01071955,m,vorgetragen_am,True,True,webseite
Ingrid Puganigg,Österreich,"Höchst/Vbg.","Das Maniefest",None,27061986,01071947,w,vorgetragen_am,True,True,webseite
Andreas Reiter,"Deutschland (BRD)",München,titel,None,27061986,geburtsjahr,m,vorgetragen_am,False,False,webseite
Nora Schmitt,"Deutschland (BRD)","Dreieichenhain/Frankfurt",titel,None,27061986,11101924,w,vorgetragen_am,False,True,webseite
Lothar Schöne,"Deutschland (BRD)",Wiebaden,titel,None,27061986,16071949,m,vorgetragen_am,False,True,webseite
Walter Vogl,Österreich,Wien,titel,None,27061986,26121958,m,vorgetragen_am,False,True,webseite
Assen Asenov,Deutschland,Berlin,titel,None,27061985,geburtsjahr,m,vorgetragen_am,False,False,webseite
Hermann Burger,Schweiz,Brunegg,"Die Wasserfallfinsternis von Badgast",None,27061985,10071942,m,vorgetragen_am,True,True,webseite
"Fritz H. Dinkelmann",Schweiz,Heinrichswil,titel,None,27061985,14021950,m,vorgetragen_am,False,True,webseite
Josef Einwanger,"Deutschland (BRD)",Simbach,titel,None,27061985,08021935,m,vorgetragen_am,False,True,webseite
Lilian Faschinger,Österreich,Graz,"Die neue Scheherazade",None,27061985,29041950,w,vorgetragen_am,True,True,webseite
Dante Andrea Franzetti,Schweiz,Zürich,"Cosimo und Hamlet",None,27061985,21121959,m,vorgetragen_am,True,True,webseite
Günther Freitag,Österreich,Leoben,titel,None,27061985,29021952,m,vorgetragen_am,False,True,webseite
Peter Grosz,"Deutschland (BRD)",Mainz,titel,None,27061985,18091947,m,vorgetragen_am,False,True,webseite
Elfi Hartenstein,"Deutschland (BRD)",Bremen,titel,None,27061985,18081946,w,vorgetragen_am,False,True,webseite
Lukas Hartmann,Schweiz,Alblingen,titel,None,27061985,29081944,m,vorgetragen_am,False,True,webseite
Gert Heidenreich,"Deutschland (BRD)",Inning,titel,None,27061985,30031944,m,vorgetragen_am,False,True,webseite
Margrit Irgang,"Deutschland (BRD)",München,titel,None,27061985,08011948,w,vorgetragen_am,False,True,webseite
Birgit Kempker,"Deutschland (BRD)",Hildesheim,"In der Allee. Das Niedersachsenrennen.",None,27061985,28051956,w,vorgetragen_am,True,True,webseite
Hans Meyer-Hörstgen,"Deutschland (BRD)",Bad Essen,titel,None,27061985,01071948,m,vorgetragen_am,False,True,webseite
Waltraud Anna Mitgutsch,Österreich,Linz,titel,None,27061985,02101948,w,vorgetragen_am,False,True,webseite
Linda Pfeiffer,"Deutschland (BRD)",Erftstadt,titel,None,27061985,25051948,w,vorgetragen_am,False,True,webseite
Elisabeth Plessen,"Deutschland (BRD)",Hamburg,titel,None,27061985,15031944,w,vorgetragen_am,False,True,webseite
Oskar von Reuth,Deutschland,Berlin,titel,None,27061985,geburtsjahr,m,vorgetragen_am,False,False,webseite
Elena Richterich,Deutschland,Berlin,titel,None,27061985,geburtsjahr,w,vorgetragen_am,False,False,webseite
Hartmut Riederer,"Deutschland (BRD)",München,titel,None,27061985,11071942,m,vorgetragen_am,False,True,webseite
Joachim Scholz,"Deutschland (BRD)",Hamburg,titel,None,27061985,21101924,m,vorgetragen_am,False,True,webseite
Heinz Stalder,Schweiz,Kriens,titel,None,27061985,01071939,m,vorgetragen_am,False,True,webseite
Angelika Stark,Schweiz,Ermatingen,titel,None,27061985,geburtsjahr,w,vorgetragen_am,False,False,webseite
Ginka Steinwachs,"Deutschland (BRD)","Frankfurt/Main","Das postbarocke Temperament in seinem Barceloneser Element",None,27061985,31101942,w,vorgetragen_am,True,True,webseite
Jochen Beyse,"Deutschland (BRD)",Hamburg,titel,None,27061984,15101949,m,vorgetragen_am,False,True,webseite
Gerd-Peter Eigner,"Deutschland (BRD)",Salzburg,titel,None,27061984,21041942,m,vorgetragen_am,False,True,webseite
Wolf-Dieter Eigner,Österreich,Graz,titel,None,27061984,17101952,m,vorgetragen_am,False,True,webseite
Jörg Fauser,"Deutschland (BRD)",Berlin,titel,None,27061984,16071944,m,vorgetragen_am,False,True,webseite
Josef Haslinger,Österreich,Kassel,titel,None,27061984,05071955,m,vorgetragen_am,False,True,webseite
Wolfgang Hegewald,"Deutschland (DDR)",Hamburg,"Burgenland",None,27061984,26031952,m,vorgetragen_am,True,True,webseite
Michael Köhlmeier,Österreich,Hohenems,titel,None,27061984,15101949,m,vorgetragen_am,False,True,webseite
Marcel Konrad,Schweiz,Luzern,titel,None,27061984,06051954,m,vorgetragen_am,False,True,webseite
Jörg Krichbaum,"Deutschland (BRD)",Düsseldorf,titel,None,27061984,02111945,m,vorgetragen_am,False,True,webseite
Hans-Jürgen Kühn,"Deutschland (BRD)",München,titel,None,27061984,geburtsjahr,m,vorgetragen_am,False,False,webseite
Norbert Loacker,Österreich,Zürich,titel,None,27061984,22071939,m,vorgetragen_am,False,True,webseite
Helen Meier,Schweiz,heiden,"Lichtempfindlich",None,27061984,17041929,w,vorgetragen_am,True,True,webseite
"E. Y. Meyer",Schweiz,Bern,titel,None,27061984,11101946,m,vorgetragen_am,False,True,webseite
Erica Pedretti,Schweiz,La Neuveville,"Das Modell und sein Maler",None,27061984,25021930,w,vorgetragen_am,True,True,webseite
Ernst Alexander Rauter,Österreich,Neuried,titel,None,27061984,27041929,m,vorgetragen_am,False,True,webseite
Evelyn Schlag,Österreich,Waidhofen,titel,None,27061984,22121952,w,vorgetragen_am,False,True,webseite
Eva Schmidt,Österreich,Bregenz,titel,None,27061984,17051952,w,vorgetragen_am,False,True,webseite
"Kristin T. Schnider",Schweiz,Zürich,titel,None,27061984,01071960,w,vorgetragen_am,False,True,webseite
Renate Schostack,"Deutschland (BRD)",Pforzheim,"Ansprache an Schwester Benedi",None,27061984,10011938,w,vorgetragen_am,True,True,webseite
Beat Sterchi,Schweiz,Bern,titel,None,27061984,12121949,m,vorgetragen_am,False,True,webseite
Harald Strätz,"Deutschland (BRD)",Berlin,titel,None,27061984,17071951,m,vorgetragen_am,False,True,webseite
Thomas Strittmatter,"Deutschland (BRD)","St. Georgen","Der Schwarzwursthammer",None,27061984,18121961,m,vorgetragen_am,True,True,webseite
Ralf Thenior,"Deutschland (BRD)",Wustrow,titel,None,27061984,04061945,m,vorgetragen_am,False,True,webseite
Keto von Waberer,"Deutschland (BRD)",München,titel,None,27061984,24021942,w,vorgetragen_am,False,True,webseite
Peter Weibel,Schweiz,Bern,titel,None,27061984,geburtsjahr,m,vorgetragen_am,False,False,webseite
Gabrielle Weigand,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061984,geburtsjahr,w,vorgetragen_am,False,False,webseite
Erich Loest,"Deutschland (DDR)",Osnabrück,"Völkerschlachtdenkmal (Romanauszug)",None,27061983,24021926,m,"1. Lesetag",False,True,webseite
Monika Helfer-Friedrich,Österreich,Bregenz,"Die wilden Kinder (Romanauszug)",None,27061983,18101947,w,"1. Lesetag",False,True,webseite
Frank Werner,"Deutschland (BRD)",Berlin,titel,None,27061983,07051944,m,"1. Lesetag",False,True,webseite
"Martin R. Dean",Schweiz,Basel,titel,None,27061983,17071955,m,"1. Lesetag",False,True,webseite
Libuše Moníková,"Tschechien, Deutschland (BRD)",Bremen,"Pavane für eine verstorbene Infantin (Romanauszug)",None,27061983,30081945,w,"1. Lesetag",False,True,webseite
Godehard Schramm,"Deutschland (BRD)",Nürnberg,titel,None,27061983,24121943,m,"1. Lesetag",False,True,webseite
Wolfgang Linder,Österreich,Rankweil,"Dunst",None,27061983,07081961,m,"1. Lesetag",True,True,webseite
Martin Mosebach,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061983,31071951,m,"1. Lesetag",False,True,webseite
Hansjörg Schertenleib,Schweiz,Zürich,titel,None,27061983,04111957,m,"2. Lesetag",False,True,webseite
Birgit Pausch,"Deutschland (BRD)",FLorenz,titel,None,27061983,07021942,w,"2. Lesetag",False,True,webseite
Lisa Witasek,Österreich,Salzburg,"Die Umarmung",None,27061983,08031956,w,"2. Lesetag",False,True,webseite
Romie Lie,Schweiz,Bern,titel,None,27061983,07061954,w,"2. Lesetag",False,True,webseite
Roland Lang,"Deutschland (BRD)",Karlsruhe,titel,None,27061983,02041942,m,"2. Lesetag",False,True,webseite
Gerhard Köpf,"Deutschland (BRD)",München,"Schwellengang (Romanauszug)",None,27061983,19091948,m,"2. Lesetag",True,True,webseite
Jan Christ,"Deutschland (BRD)",Baltrum,titel,None,27061983,28061934,m,"2. Lesetag",False,True,webseite
Wolfgang Held,"Deutschland (BRD)",London,"Rabenkind",None,27061983,15081933,m,"2. Lesetag",False,True,webseite
Rainald Goetz,"Deutschland (BRD)",München,"Subito",None,27061983,24051954,m,"3. Lesetag",False,True,webseite
Zsuzsanna Gahse,"Deutschland (BRD)",Stuttgart,"Passagen",None,27061983,27061946,w,"3. Lesetag",False,True,webseite
Alban Nikolai Herbst,"Deutschland (BRD)","Frankfurt/Main",titel,None,27061983,07021955,m,"3. Lesetag",False,True,webseite
Bodo Morshäuser,"Deutschland (BRD)",Berlin,"Nur die Liebe (Buchauszug)",None,27061983,28021953,m,"3. Lesetag",True,True,webseite
Jochen Missfeldt,"Deutschland (BRD)",Stadum,titel,None,27061983,26011941,m,"3. Lesetag",False,True,webseite
Gudrun Brug,"Deutschland (BRD)",Berlin,titel,None,27061983,10061949,w,"3. Lesetag",False,True,webseite
Bettina Blumenberg,"Deutschland (BRD)",Bochum,"Verführung (Auszug aus einer größeren Prosaarbeit)",None,27061983,17121947,w,"3. Lesetag",False,True,webseite
Karin Reschke,"Deutschland (BRD)",Berlin,"Viola, Violetta, schwarze Braut",None,27061983,17091940,w,"3. Lesetag",False,True,webseite
Uwe Herms,""Deutschland (BRD)",Hamburg,"Die Papageien von New York (Auszug aus einem längeren Text)",None,27061983,09091937,m,"4. Lesetag",True,True,webseite
Friederike Roth,"Deutschland (BRD)",Stuttgart,"Das Buch des Lebens (Auszug)",None,27061983,06041948,w,"4. Lesetag",True,True,webseite
Michael Schneider,"Deutschland (BRD)",Wiesbaden,"Auf der Probebühne der Leidenschaft",None,27061983,04041943,m,"4. Lesetag",False,True,webseite
Andrea Wolfmayr,Österreich,Gleisdorf,titel,None,27061983,16071953,w,"4. Lesetag",False,True,webseite
Eva Maria Alves,"Deutschland (BRD)",Hamburg,titel,None,27061982,geburtsjahr,w,vorgetragen_am,False,False,webseite
Jürg Amann,Schweiz,Uetikon am See,"Rondo",None,27061982,02071947,m,vorgetragen_am,True,True,webseite
Birgitta Arens,"Deutschland (BRD)",Berlin,titel,None,27061982,16111948,w,vorgetragen_am,False,True,webseite
