id,autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,preis
67,Jürg Halter,Schweiz,Bern,Erwachen im 21. Jahrhundert,Juri Steiner,2015,1980,m,Samstag,False,True,False
68,Anna Baar,Österreich,Klagenfurt,Die Farbe des Granatapfels,Stefan Gmünder,2015,1973,w,Samstag,False,True,False
69,Teresa Präauer,Österreich,Wien,"Oh, Schimmi",Hubert Winkels,2015,1979,w,Samstag,False,True,False
70,Dana Grigorcea,"Schweiz,Rumänien",Zürich,Das primäre Gefühl der Schuldlosigkeit,Hildegard E. Keller,2015,1979,w,Samstag,True,True,3sat-Preis
71,Roman Marchel,Österreich,südliches Waldviertel,Die fröhlichen Pferde von Chauvet,Arno Dusini,2014,1974,m,Donnerstag,False,True,False
72,Kerstin Preiwuß,Deutschland,Leipzig,unbetitelter Text,Meike Feßmann,2014,1980,w,Donnerstag,False,True,False
73,Tobias Sommer,Deutschland,Bad Segeberg,Steuerstrafakte,Juri Steiner,2014,1978,m,Donnerstag,False,True,False
74,Gertraud Klemm,Österreich,Pfaffstätten,Ujjayi (Romanauszug),Hubert Winkels,2014,1971,w,Donnerstag,True,True,BKS Bank-Publikumspreis
75,Olga Flor,Österreich,Graz,Unter Platanen,Daniela Strigl,2014,1968,w,Donnerstag,False,True,False
76,Anne-Kathrin Heier,Deutschland,Berlin,Ichthys,Burkhard Spinnen,2014,1977,w,Freitag,False,True,False
77,Birgit Pölzl,Österreich,Graz,Maia,Arno Dusini,2014,1959,w,Freitag,False,True,False
78,Senthuran Varatharajah,Deutschland,Berlin,Vor der Zunahme der Zeichen (Romanauszug),Meike Feßmann,2014,1984,m,Freitag,True,True,3sat-Preis
79,Michael Fehr,Schweiz,Bern,Simeliberg (Romanauszug),Juri Steiner,2014,1982,m,Freitag,True,True,Kelag-Preis
80,Romana Ganzoni,Schweiz,Celerina,Ignis Cool,Hildegard E. Keller,2014,1967,w,Freitag,False,True,False
81,Katharina Gericke,Deutschland,Berlin,DOWN DOWN DOWN To The Queen Of Chinatown,Burkhard Spinnen,2014,1966,w,Samstag,True,True,Ernst-Willner-Preis
82,Tex Rubinowitz,"Österreich,Deutschland",Wien,Wir waren niemals hier,Daniela Strigl,2014,1961,m,Samstag,True,True,Ingeborg-Bachmann-Preis
83,Georg Petz,Österreich,Graz,Millefleurs,Hildegard E. Keller,2014,1977,m,Samstag,False,True,False
